Latitude,Longitude,Year,Month,Day,Temperature,Temp_MAX,Temp_MIN,Dew,Wind speed,Wind speed_MAX,Wind speed_MIN,Wind direction,Relative humidity,specfic humidity, Surface Pressure,Fire
29.42,79.09,2021,1,24,11.65,19.26,7.06,-1.14,2.23,4.2,0.78,123.5,43.38,3.97,89.4,0
29.76,78.68,2020,2,26,11.69,17.21,6.95,7.03,1.93,4.48,0.16,189.75,74.81,7.2,87.54,0
29.76,78.68,2021,1,23,11.73,19.12,7.83,-3.65,1.96,4.33,0.28,121.69,36.06,3.36,87.42,0
29.42,79.09,2021,1,15,11.74,20.12,7.73,-3.27,1.73,3.48,0.36,181.88,37.06,3.36,89.25,0
29.42,79.09,2021,1,20,11.77,20.81,6.68,-2.01,3.2,6.95,1.7,236.44,42.75,3.72,89.09,0
29.42,79.09,2021,1,17,11.78,19.9,5.85,-5.23,2.4,4.22,0.82,110.12,31.5,2.87,89.42,0
29.37,79.02,2020,2,4,11.81,19.19,5.93,-0.06,2.42,3.0,1.16,130.88,46.0,3.97,95.76,0
29.76,78.68,2021,1,16,11.81,20.51,7.59,-5.09,1.75,4.78,0.03,245.62,32.31,2.99,87.29,0
29.76,78.68,2021,1,18,11.83,19.99,5.96,-3.02,2.09,3.62,1.34,131.56,37.12,3.54,87.67,0
29.76,78.68,2020,2,25,11.88,15.88,8.28,7.12,1.85,3.04,0.55,184.75,73.38,7.26,87.49,0
29.42,79.09,2021,1,22,11.9,19.81,5.05,-3.7,1.77,3.59,0.35,119.62,35.25,3.23,89.36,0
29.76,78.68,2019,3,7,11.94,18.41,7.66,3.33,2.27,5.09,0.69,149.44,57.38,5.62,87.32,0
29.37,79.02,2020,2,8,11.95,20.13,6.62,0.77,2.73,4.2,1.62,176.69,48.88,4.27,96.06,0
29.76,78.68,2020,2,12,11.95,19.25,7.58,2.4,2.24,5.67,0.47,209.56,53.88,5.31,87.83,0
29.76,78.68,2021,2,2,11.95,19.88,7.2,-4.88,2.23,5.12,0.29,150.5,33.0,3.05,87.74,0
29.76,78.68,2021,2,3,11.99,19.83,6.18,-2.2,2.23,3.89,0.19,127.06,39.19,3.78,87.76,0
29.42,79.09,2020,3,6,12.01,15.94,6.9,8.21,4.57,7.52,2.73,85.19,78.44,7.69,89.12,0
29.42,79.09,2020,3,15,12.09,17.3,7.86,6.98,2.06,2.79,1.67,182.31,72.94,7.02,89.52,0
29.37,79.02,2021,1,12,12.12,20.81,6.72,0.12,3.05,4.77,2.4,303.06,46.75,4.09,95.52,0
29.76,78.68,2020,2,24,12.19,17.41,7.55,5.85,1.71,2.41,0.27,108.0,66.25,6.65,87.56,0
